segment_name,segment_start_sec,segment_end_sec,frame_idx,processed_idx,bag_abs_time,bag_rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,baseline_mode,corner,fail_count,center_jump,lane_width_jump,recovery_used,recovery_success,recovery_left_found,recovery_right_found,recovery_window_px,recovery_reason,local_left_roi_x0,local_left_roi_x1,local_right_roi_x0,local_right_roi_x1,pred_lpos,pred_rpos,final_source,suspicious_reasons
lap1_problem_section_v0_1,14.000000,80.000000,494,76,1780899027.031040668,16.555493116,135.791548,61.359974,16,236,2150,24,9,8,-1.681818182,1.307692308,207,446,239,256,-64,BOTH,BOTH,LEFT,0,0,1,0,0,0,0,90,,,,,,207,445,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,495,77,1780899027.066016436,16.590468884,136.141861,61.563299,16,236,2232,28,10,8,-1.235294118,1.423076923,189,445,256,247,-73,BOTH,BOTH,LEFT,0,9,17,0,0,0,0,90,,,,,,207,446,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,496,78,1780899027.098486900,16.622939348,136.773750,61.939694,16,236,2301,27,9,8,-1.750000000,1.481481481,207,445,238,256,-64,BOTH,BOTH,LEFT,0,9,18,0,0,0,0,90,,,,,,189,445,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,497,79,1780899027.132313251,16.656765699,137.946989,62.404275,16,236,2410,37,10,12,-2.043478261,1.050000000,225,487,262,286,-34,BOTH,BOTH,LEFT,0,30,24,0,0,0,0,90,,,,,,207,445,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,498,80,1780899027.164079905,16.688532352,139.321946,63.009598,16,236,2531,31,11,9,-2.083333333,1.045454545,224,487,263,285,-35,BOTH,BOTH,LEFT,0,1,1,0,0,0,0,90,,,,,,225,487,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,499,81,1780899027.196921349,16.721373796,140.029702,63.403229,16,236,2532,35,11,11,-1.958333333,1.086956522,225,487,262,286,-34,BOTH,BOTH,LEFT,0,1,1,0,0,0,0,90,,,,,,224,487,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,500,82,1780899027.233088493,16.757540941,140.209716,63.285353,16,236,2549,31,11,11,-2.047619048,1.047619048,224,487,263,285,-35,BOTH,BOTH,LEFT,0,1,1,0,0,0,0,90,,,,,,225,487,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,501,83,1780899027.266134977,16.790587425,139.840682,63.118882,16,236,2588,37,13,9,-2.000000000,1.000000000,224,490,266,287,-33,BOTH,BOTH,LEFT,0,2,3,0,0,0,0,90,,,,,,224,487,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,502,84,1780899027.301914215,16.826366663,138.842088,62.864687,16,236,2527,29,11,10,-1.230769231,1.000000000,189,490,301,269,-51,BOTH,BOTH,LEFT,0,18,35,0,0,0,0,90,,,,,,224,490,FULL_BASELINE,
lap1_problem_section_v0_1,14.000000,80.000000,503,85,1780899027.333998203,16.858450651,138.351278,62.696329,16,236,2534,31,11,11,-1.285714286,1.000000000,189,491,302,270,-50,BOTH,BOTH,LEFT,0,1,1,0,0,0,0,90,,,,,,189,490,FULL_BASELINE,
