frame_idx,processed_idx,timestamp,rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,corner,fail_count,center_jump,lane_width_jump,suspicious_reasons
104,104,1780899013.963952780,3.488405,138.647756,47.717573,16,235,527,5,3,2,-0.513513514,0.851851852,51,599,548,325,5,BOTH,STRAIGHT,0,4,9,
105,105,1780899013.994030952,3.518483,138.674545,47.703812,19,235,522,5,3,2,-0.571428571,0.840000000,60,600,540,330,10,BOTH,STRAIGHT,0,5,8,
106,106,1780899014.025731802,3.550184,138.703111,47.687964,35,235,502,7,4,3,-0.530303030,0.839506173,55,600,545,327,7,BOTH,STRAIGHT,0,3,5,
107,107,1780899014.064065933,3.588518,138.751790,47.658785,31,235,475,7,4,3,-0.510204082,0.839285714,51,599,548,325,5,BOTH,STRAIGHT,0,2,3,
108,108,1780899014.092927933,3.617380,138.604276,47.705350,34,235,523,5,3,2,-0.578947368,0.834951456,58,600,542,329,9,BOTH,STRAIGHT,0,4,6,
109,109,1780899014.125168085,3.649621,138.388537,47.702000,35,235,526,5,3,2,-0.530303030,0.857142857,55,599,544,327,7,BOTH,STRAIGHT,0,2,2,
110,110,1780899014.161216974,3.685669,138.328111,47.703083,18,236,475,6,4,2,-0.576923077,0.839080460,58,600,542,329,9,BOTH,STRAIGHT,0,2,2,
111,111,1780899014.192364693,3.716817,138.405696,47.657171,23,235,524,6,4,2,-0.512195122,0.834951456,50,600,550,325,5,BOTH,STRAIGHT,0,4,8,
112,112,1780899014.228126526,3.752579,138.361364,47.678804,23,235,520,6,4,2,-0.541666667,0.860000000,56,598,542,327,7,BOTH,STRAIGHT,0,2,8,
113,113,1780899014.259988785,3.784441,138.441960,47.659769,28,235,527,5,3,2,-0.530303030,0.836734694,55,600,545,327,7,BOTH,STRAIGHT,0,0,3,
114,114,1780899014.292333364,3.816786,138.522557,47.704819,16,235,522,6,3,3,-0.534482759,0.840000000,55,600,545,327,7,BOTH,STRAIGHT,0,0,0,
115,115,1780899014.327905893,3.852358,138.710781,47.744108,16,235,521,7,4,3,-0.571428571,0.843137255,59,599,540,329,9,BOTH,STRAIGHT,0,2,5,
116,116,1780899014.360840797,3.885293,138.748310,47.768071,16,235,522,5,3,2,-0.580000000,0.836956522,59,600,541,329,9,BOTH,STRAIGHT,0,0,1,
117,117,1780899014.395879984,3.920332,138.702997,47.804671,16,235,521,6,4,2,-0.517241379,0.868421053,51,598,547,324,4,BOTH,STRAIGHT,0,5,6,
118,118,1780899014.427931547,3.952384,138.664446,47.844325,28,235,523,5,3,2,-0.512195122,0.854166667,50,599,549,324,4,BOTH,STRAIGHT,0,0,2,
119,119,1780899014.459809065,3.984262,138.713920,47.817177,25,236,517,6,3,3,-0.508771930,0.839080460,51,600,549,325,5,BOTH,STRAIGHT,0,1,0,
120,120,1780899014.496058226,4.020511,138.759886,47.797553,23,235,476,6,3,3,-0.511627907,0.839080460,51,600,549,325,5,BOTH,STRAIGHT,0,0,0,
121,121,1780899014.531381607,4.055834,138.658679,47.857449,23,235,519,5,3,2,-0.528301887,0.839080460,53,600,547,326,6,BOTH,STRAIGHT,0,1,2,
122,122,1780899014.563907623,4.088360,138.645810,47.866540,19,235,522,6,3,3,-0.538461538,0.837837838,55,600,545,327,7,BOTH,STRAIGHT,0,1,2,
123,123,1780899014.598789215,4.123242,138.682159,47.847930,28,235,523,6,3,3,-0.509803922,0.843137255,51,599,548,325,5,BOTH,STRAIGHT,0,2,3,
124,124,1780899014.629696369,4.154149,138.632301,47.873925,41,235,476,6,3,3,-0.509803922,0.843137255,51,599,548,325,5,BOTH,STRAIGHT,0,0,0,
125,125,1780899014.665269613,4.189722,138.547656,47.918686,16,235,473,5,3,2,-0.534482759,0.870967742,55,598,543,326,6,BOTH,STRAIGHT,0,1,5,
126,126,1780899014.697987795,4.222440,138.516747,47.943208,18,235,526,6,4,2,-0.553846154,0.868421053,57,598,541,327,7,BOTH,STRAIGHT,0,1,2,
127,127,1780899014.728864431,4.253317,138.536534,47.926678,23,235,477,6,4,2,-0.538461538,0.836956522,54,600,546,327,7,BOTH,STRAIGHT,0,0,5,
128,128,1780899014.763939619,4.288392,138.577543,47.896985,22,235,519,6,4,2,-0.510204082,0.839080460,51,600,549,325,5,BOTH,STRAIGHT,0,2,3,
129,129,1780899014.796335220,4.320788,138.503366,47.949193,35,235,527,6,4,2,-0.565217391,0.854545455,59,599,540,329,9,BOTH,STRAIGHT,0,4,9,
130,130,1780899014.830228329,4.354681,138.484517,47.957041,18,235,518,7,5,2,-0.533333333,0.854545455,54,599,545,326,6,BOTH,STRAIGHT,0,3,5,
131,131,1780899014.868363857,4.392816,138.467898,47.962095,31,235,475,7,4,3,-0.516129032,0.840579710,51,600,549,325,5,BOTH,STRAIGHT,0,1,4,
132,132,1780899014.896743536,4.421196,138.537259,47.909363,17,235,524,5,3,2,-0.513513514,0.836734694,50,600,550,325,5,BOTH,STRAIGHT,0,0,1,
133,133,1780899014.938551903,4.463004,138.555582,47.893159,20,235,525,5,3,2,-0.571428571,0.836956522,58,600,542,329,9,BOTH,STRAIGHT,0,4,8,
134,134,1780899014.966845512,4.491298,138.624446,47.843757,16,235,479,5,3,2,-0.533333333,0.843137255,54,599,545,326,6,BOTH,STRAIGHT,0,3,3,
135,135,1780899014.998924255,4.523377,138.556847,47.890067,16,235,523,7,4,3,-0.600000000,0.838235294,60,600,540,330,10,BOTH,STRAIGHT,0,4,5,
136,136,1780899015.034882784,4.559335,138.526193,47.892377,19,235,520,5,3,2,-0.538461538,0.836734694,55,600,545,327,7,BOTH,STRAIGHT,0,3,5,
137,137,1780899015.070913792,4.595366,138.554034,47.864313,32,235,481,5,3,2,-0.517857143,0.840909091,52,600,548,326,6,BOTH,STRAIGHT,0,1,3,
138,138,1780899015.096475363,4.620928,138.617188,47.826244,26,235,524,6,3,3,-0.600000000,0.838235294,61,600,539,330,10,BOTH,STRAIGHT,0,4,9,
139,139,1780899015.132238150,4.656691,138.579290,47.834955,16,235,500,6,4,2,-0.600000000,0.854545455,60,599,539,329,9,BOTH,STRAIGHT,0,1,0,
140,140,1780899015.165128469,4.689581,138.689759,47.770676,16,235,523,6,3,3,-0.592592593,0.840000000,61,600,539,330,10,BOTH,STRAIGHT,0,1,0,
141,141,1780899015.200280428,4.724733,138.747060,47.731243,16,235,476,5,3,2,-0.586206897,0.839080460,60,600,540,330,10,BOTH,STRAIGHT,0,0,1,
142,142,1780899015.232333422,4.756786,138.688949,47.755216,31,235,524,5,3,2,-0.628571429,0.840909091,62,600,538,331,11,BOTH,STRAIGHT,0,1,2,
143,143,1780899015.264408827,4.788861,138.703026,47.745458,16,235,521,7,4,3,-0.571428571,0.839285714,59,599,540,329,9,BOTH,STRAIGHT,0,2,2,
144,144,1780899015.301364422,4.825817,138.791506,47.679714,19,235,478,6,3,3,-0.509433962,0.839285714,52,599,547,325,5,BOTH,STRAIGHT,0,4,7,
145,145,1780899015.332701206,4.857154,138.828707,47.657197,31,235,524,5,3,2,-0.600000000,0.837837838,60,600,540,330,10,BOTH,STRAIGHT,0,5,7,
146,146,1780899015.369193316,4.893646,138.824645,47.665736,16,235,524,6,4,2,-0.527272727,0.837500000,54,600,546,327,7,BOTH,STRAIGHT,0,3,6,
147,147,1780899015.401802540,4.926255,138.813778,47.654879,19,235,526,6,4,2,-0.500000000,0.835051546,50,600,550,325,5,BOTH,STRAIGHT,0,2,4,
148,148,1780899015.432868242,4.957321,138.769673,47.698291,16,235,478,6,3,3,-0.558441558,0.844827586,58,599,541,328,8,BOTH,STRAIGHT,0,3,9,
149,149,1780899015.469400883,4.993853,138.822741,47.662816,19,235,522,5,3,2,-0.533333333,0.836734694,54,600,546,327,7,BOTH,STRAIGHT,0,1,5,
150,150,1780899015.502636671,5.027089,138.891790,47.624401,21,235,527,5,3,2,-0.516129032,0.840909091,51,600,549,325,5,BOTH,STRAIGHT,0,2,3,
151,151,1780899015.533877134,5.058330,138.965952,47.581038,22,235,522,5,3,2,-0.600000000,0.851851852,62,599,537,330,10,BOTH,STRAIGHT,0,5,12,
152,152,1780899015.571540117,5.095993,138.851705,47.656531,17,235,521,5,3,2,-0.510204082,0.839285714,51,599,548,325,5,BOTH,STRAIGHT,0,5,11,
153,153,1780899015.600006342,5.124459,138.853665,47.662588,16,235,523,7,4,3,-0.517857143,0.838709677,52,600,548,326,6,BOTH,STRAIGHT,0,1,0,
154,154,1780899015.636125088,5.160578,138.883920,47.652979,31,235,523,6,3,3,-0.535714286,0.843137255,55,599,544,327,7,BOTH,STRAIGHT,0,1,4,
155,155,1780899015.668022394,5.192475,138.859915,47.673020,22,235,521,6,3,3,-0.516129032,0.841269841,51,599,548,325,5,BOTH,STRAIGHT,0,2,4,
156,156,1780899015.703047991,5.227500,138.780369,47.725459,16,235,526,7,4,3,-0.533333333,0.837500000,54,600,546,327,7,BOTH,STRAIGHT,0,2,2,
157,157,1780899015.738037109,5.262490,138.752784,47.753685,35,235,477,5,3,2,-0.509433962,0.836956522,52,600,548,326,6,BOTH,STRAIGHT,0,1,2,
158,158,1780899015.770392656,5.294845,138.730099,47.775908,17,235,521,5,3,2,-0.600000000,0.839080460,60,600,540,330,10,BOTH,STRAIGHT,0,4,8,
159,159,1780899015.802062273,5.326515,138.744460,47.768034,30,235,476,6,3,3,-0.625000000,0.839285714,62,599,537,330,10,BOTH,STRAIGHT,0,0,3,
